Age,qx_smoke,qx_quit,qx_NSmortality,qx_Smortality
10,0.018,0.006,0.00036348,0.00036348
11,0.018,0.006,0.00035077,0.00035077
12,0.018,0.006,0.00038324,0.00038324
13,0.018,0.006,0.00045705,0.00045705
14,0.018,0.006,0.00056696,0.00056696
15,0.078,0.006,0.00069567,0.00069567
16,0.078,0.006,0.00086508,0.00086508
17,0.078,0.006,0.00102445,0.00102445
18,0.078,0.006,0.00109701,0.00109701
19,0.078,0.006,0.00110246,0.00110246
20,0.04,0.01,0.000752794,0.00215084
21,0.04,0.01,0.00074298,0.0021228
22,0.04,0.01,0.000763238,0.00218068
23,0.04,0.01,0.000779933,0.00222838
24,0.04,0.01,0.000774312,0.00221232
25,0.0102,0.0128,0.000743092,0.00212312
26,0.0102,0.0128,0.00069489,0.0019854
27,0.0102,0.0128,0.00066157,0.0018902
28,0.0102,0.0128,0.000673008,0.00192288
29,0.0102,0.0128,0.00071001,0.0020286
30,0.012,0.02,0.000778337,0.00333573
31,0.012,0.02,0.000843234,0.00361386
32,0.012,0.02,0.000912198,0.00390942
33,0.012,0.02,0.000957894,0.00410526
34,0.012,0.02,0.001017562,0.00436098
35,0.0108,0.0196,0.001063223,0.00455667
36,0.0108,0.0196,0.001116885,0.00478665
37,0.0108,0.0196,0.001204854,0.00516366
38,0.0108,0.0196,0.001342397,0.00575313
39,0.0108,0.0196,0.001515549,0.00649521
40,0.01,0.022,0.001700384,0.00728736
41,0.01,0.022,0.001919204,0.00822516
42,0.01,0.022,0.002191042,0.00939018
43,0.01,0.022,0.002394728,0.01026312
44,0.01,0.022,0.002652783,0.01136907
45,0.01,0.0198,0.002990225,0.01281525
46,0.01,0.0198,0.003315557,0.01420953
47,0.01,0.0198,0.003696819,0.01584351
48,0.01,0.0198,0.004169879,0.01787091
49,0.01,0.0198,0.004615513,0.01978077
50,,, , 
